City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,mar del plata,-38.0023,-57.5575,64.42,73,0,11.5,AR,1712464761
345,tamanrasset,22.785,5.5228,73.31,12,0,24.16,DZ,1712464909
346,virginia beach,36.8529,-75.978,52.02,56,40,8.05,US,1712464910
347,chibougamau,49.9168,-74.3659,29.82,74,0,6.91,CA,1712464910
348,kingston,17.997,-76.7936,83.35,79,20,5.75,JM,1712464700
349,chiroqchi,39.0336,66.5722,64.78,38,14,2.89,UZ,1712464910
350,thala,35.5724,8.6703,56.59,30,0,3.8,TN,1712464911
351,jabat,7.75,168.9751,81.88,82,60,18.97,MH,1712464911
352,nogliki,51.8333,143.1667,31.33,80,100,5.01,RU,1712464911
353,magadan,59.5667,150.8,28.53,77,26,6.06,RU,1712464911
354,pudasjarvi,65.3833,26.9167,22.3,96,100,5.28,FI,1712464912
355,bela cruz,-3.0506,-40.1678,73.98,99,100,1.9,BR,1712464912
356,knysna,-34.0363,23.0471,63.14,84,82,20.69,ZA,1712464912
357,bel ombre,-4.6167,55.4167,80.44,89,75,3.44,SC,1712464912
358,selfoss,63.9331,-20.9971,29.05,44,100,32.5,IS,1712464912
359,kijang,35.2442,129.2139,71.33,52,89,4.94,KR,1712464754
360,nizhneudinsk,54.9076,99.0276,53.13,70,95,5.1,RU,1712464913
361,murzuq,25.9155,13.9184,63.79,20,12,10.49,LY,1712464913
